Company,Date,Revenue amount (normalize to annual),,,
OpenAI,12/31/2022,28000000,,,
OpenAI,3/1/2023,200000000,,,
OpenAI,8/29/2023,1000000000,,,
Anthropic,10/1/2023,100000000,,,
OpenAI,10/10/2023,1300000000,,,
OpenAI,12/30/2023,1600000000,,,
OpenAI,12/31/2023,2000000000,,,
OpenAI,12/31/2023,700000000,,,
Anthropic,1/1/2024,87000000,,,
OpenAI,6/12/2024,3400000000,,,
OpenAI,8/15/2024,3600000000,,,
OpenAI,9/12/2024,4000000000,,,
xAI,11/20/2024,100000000,,,
Anthropic,12/31/2024,1000000000,,,
OpenAI,12/31/2024,5500000000,,,
OpenAI,12/31/2024,3700000000,,,
xAI,1/31/2025,178000000,,,
Anthropic,3/1/2025,1400000000,,,
Anthropic,3/31/2025,2000000000,,,
xAI,3/31/2025,208000000,,,
OpenAI,4/1/2025,4800000000,,,
Anthropic,5/30/2025,3000000000,,,
OpenAI,6/9/2025,10000000000,,,
OpenAI,6/30/2025,8600000000,,,
Anthropic,7/1/2025,4000000000,,,
Anthropic,7/29/2025,5000000000,,,
OpenAI,7/30/2025,12000000000,,,
xAI,7/31/2025,500000000,,,
OpenAI,8/1/2025,13000000000,,,
OpenAI,8/26/2025,3000000000,,,
Anthropic,10/15/2025,1000000000,,,
Anthropic,10/21/2025,7000000000,,,
