company,close_date,funding_amount,valuation_post,funding_type,confidence,year,compute_efficiency_ratio
Anthropic,2021-05-28,124000000.0,674000000.0,Primary,Confident,2021,
Anthropic,2022-04-29,580000000.0,3700000000.0,Primary,Confident,2022,
Anthropic,2023-05-23,450000000.0,4500000000.0,Primary,Likely,2023,2.85
Anthropic,2023-10-25,2000000000.0,,Primary,Likely,2023,2.85
Anthropic,2024-01-11,750000000.0,18400000000.0,Primary,Likely,2024,2.5
Anthropic,2024-03-27,4000000000.0,,Primary,Likely,2024,2.5
Anthropic,2024-11-24,4000000000.0,,Primary,Likely,2024,2.5
Anthropic,2025-03-01,1000000000.0,,Primary,Likely,2025,0.5285714285714286
Anthropic,2025-03-03,3500000000.0,61500000000.0,Primary,Confident,2025,0.5285714285714286
Anthropic,2025-09-02,13000000000.0,183000000000.0,Primary,Confident,2025,0.5285714285714286
OpenAI,2019-03-11,50000000.0,,Primary,Likely,2019,
OpenAI,2019-03-11,,,Primary,Likely,2019,
OpenAI,2019-07-22,1000000000.0,,Primary,Confident,2019,
OpenAI,2021-03-15,2000000000.0,,Primary,Likely,2021,
OpenAI,2023-01-23,10000000000.0,,Primary,Likely,2023,
OpenAI,2023-04-26,300000000.0,27000000000.0,Primary,Confident,2023,
OpenAI,2024-02-16,0.0,80000000000.0,Secondary,Likely,2024,1.0545454545454545
OpenAI,2024-10-02,6600000000.0,157000000000.0,Primary,Confident,2024,1.0545454545454545
OpenAI,2025-03-31,10000000000.0,300000000000.0,Primary,Likely,2025,1.2307692307692308
OpenAI,2025-08-01,8300000000.0,300000000000.0,Primary,Likely,2025,1.2307692307692308
OpenAI,2025-10-01,0.0,500000000000.0,Secondary,Confident,2025,1.2307692307692308
xAI,2024-05-27,6000000000.0,24000000000.0,Primary,Confident,2024,
xAI,2024-11-20,6000000000.0,45000000000.0,Primary,Confident,2024,
xAI,2025-03-28,0.0,113000000000.0,Other,Confident,2025,
xAI,2025-06-30,5000000000.0,150000000000.0,"Primary,Debt",Likely,2025,
