company,event_date,event_type,funding_amount,valuation_post,users_at_time,staff_at_time,user_growth_rate_prior_qtr
Anthropic,2021-05-28,Funding,124000000.0,674000000.0,,,
Anthropic,2022-04-29,Funding,580000000.0,3700000000.0,,,
Anthropic,2023-05-23,Funding,450000000.0,4500000000.0,,,
Anthropic,2023-10-25,Funding,2000000000.0,,,192.0,
Anthropic,2024-01-11,Funding,750000000.0,18400000000.0,,300.0,
Anthropic,2024-03-27,Funding,4000000000.0,,,500.0,
Anthropic,2024-11-24,Funding,4000000000.0,,,915.0,
Anthropic,2025-03-01,Funding,1000000000.0,,,915.0,
Anthropic,2025-03-03,Funding,3500000000.0,61500000000.0,,915.0,
Anthropic,2025-09-02,Funding,13000000000.0,183000000000.0,,,
OpenAI,2019-03-11,Funding,50000000.0,,,113.0,
OpenAI,2019-03-11,Funding,,,,113.0,
OpenAI,2019-07-22,Funding,1000000000.0,,,,
OpenAI,2021-03-15,Funding,2000000000.0,,,,
OpenAI,2023-01-23,Funding,10000000000.0,,50000000.0,375.0,
OpenAI,2023-04-26,Funding,300000000.0,27000000000.0,50000000.0,,
OpenAI,2024-02-16,Funding,0.0,80000000000.0,125000000.0,,0.0
OpenAI,2024-10-02,Funding,6600000000.0,157000000000.0,240000000.0,1600.0,-31.428571428571427
OpenAI,2025-03-31,Funding,10000000000.0,300000000000.0,160000000.0,,25.0
OpenAI,2025-08-01,Funding,8300000000.0,300000000000.0,700000000.0,3000.0,43.333333333333336
OpenAI,2025-10-01,Funding,0.0,500000000000.0,800000000.0,3000.0,79.06976744186048
xAI,2024-05-27,Funding,6000000000.0,24000000000.0,,15.0,
xAI,2024-11-20,Funding,6000000000.0,45000000000.0,,,
xAI,2025-03-28,Funding,0.0,113000000000.0,15000000.0,300.0,
xAI,2025-06-30,Funding,5000000000.0,150000000000.0,64000000.0,,
