company,quarter,date,active_users,staff_count,total_compute_spend,user_growth_rate,staff_growth_rate,compute_growth_rate,compute_to_user_ratio,staff_to_user_ratio
Anthropic,2022Q3,,,50.0,,,,,,
Anthropic,2023Q1,,,85.0,,,70.0,,,
Anthropic,2023Q4,,,300.0,285000000.0,,252.94117647058823,,,
Anthropic,2024Q2,,,500.0,,,66.66666666666667,0.0,,
Anthropic,2024Q4,,,915.0,2500000000.0,,83.0,777.1929824561404,,
Anthropic,2025Q2,,,1300.0,,,42.07650273224044,0.0,,
Anthropic,2025Q4,,,2300.0,3700000000.0,,76.92307692307692,48.0,,
DeepSeek,2025Q1,2025-03-28,10000000.0,160.0,,,,,,
Google,2013Q4,,,75.0,,,,,,
Google,2014Q1,,,100.0,,,33.33333333333333,,,
Google,2016Q1,,,200.0,,,100.0,,,
Google,2016Q4,,,350.0,,,75.0,,,
Google,2017Q4,,,700.0,,,100.0,,,
Google,2021Q2,,,1000.0,,,42.85714285714286,,,
Google,2021Q4,,,1000.0,,,0.0,,,
Google,2024Q2,,,2600.0,,,160.0,,,
Google,2025Q1,2025-03-28,350000000.0,5600.0,,,115.38461538461537,,,
Google,2025Q2,2025-05-20,400000000.0,,,14.28571428571428,0.0,,,0.0
Google,2025Q3,2025-07-23,450000000.0,6000.0,,12.5,7.14285714285714,,,0.5714285714285712
Google,2025Q4,2025-10-29,650000000.0,,,44.44444444444444,0.0,,,0.0
Meta,2016Q4,,,75.0,,,,,,
Meta,2018Q4,,,200.0,,,166.66666666666666,,,
Meta,2024Q3,2024-09-25,185000000.0,,,,0.0,,,
Meta,2024Q4,2024-12-15,600000000.0,,,224.32432432432435,0.0,,,0.0
Meta,2025Q1,2025-03-28,700000000.0,,,16.666666666666675,0.0,,,0.0
Meta,2025Q2,2025-05-28,1000000000.0,1000.0,,42.85714285714286,400.0,,,9.333333333333332
Meta,2025Q4,2025-10-29,1000000000.0,,,0.0,0.0,,,
OpenAI,2016Q4,,,52.0,,,,,,
OpenAI,2017Q4,,,99.0,,,90.38461538461537,,,
OpenAI,2018Q4,,,113.0,,,14.141414141414144,,,
OpenAI,2019Q4,,,125.0,,,10.619469026548668,,,
OpenAI,2020Q1,,,120.0,,,-4.0000000000000036,,,
OpenAI,2022Q4,,,,416000000.0,,0.0,,,
OpenAI,2023Q1,2023-03-25,50000000.0,375.0,,,212.5,0.0,,
OpenAI,2023Q3,2023-09-20,80000000.0,,,60.00000000000001,0.0,0.0,0.0,0.0
OpenAI,2023Q4,,,800.0,,0.0,113.33333333333333,0.0,,inf
OpenAI,2024Q1,2024-03-20,125000000.0,,,56.25,0.0,0.0,0.0,0.0
OpenAI,2024Q2,2024-06-30,350000000.0,,,179.99999999999997,0.0,0.0,0.0,0.0
OpenAI,2024Q3,2024-09-15,240000000.0,1600.0,,-31.428571428571427,100.0,0.0,-0.0,-3.181818181818182
OpenAI,2024Q4,2024-12-04,300000000.0,,5800000000.0,25.0,0.0,1294.230769230769,51.76923076923076,0.0
OpenAI,2025Q1,2025-03-28,430000000.0,,,43.333333333333336,0.0,0.0,0.0,0.0
OpenAI,2025Q3,2025-08-04,770000000.0,3000.0,,79.06976744186048,87.5,0.0,0.0,1.1066176470588234
OpenAI,2025Q4,2025-10-06,800000000.0,,16000000000.0,3.8961038961038863,0.0,175.86206896551727,45.137931034482875,0.0
xAI,2023Q3,,,12.0,,,,,,
xAI,2024Q2,,,15.0,,,25.0,,,
xAI,2024Q3,,,97.0,,,546.6666666666666,,,
xAI,2025Q1,2025-03-28,15000000.0,300.0,,,209.27835051546393,,,
xAI,2025Q3,2025-09-17,64000000.0,,,326.6666666666667,0.0,,,0.0
xAI,2025Q4,,,,13000000000.0,0.0,0.0,,,
